ALINHAMENTO;CONDUTA
APRESENTAR;MOSTRAR 
A PROPOSITO;ASSIM POR DIANTE
HAVIA;TINHA
HA;TEM
HAVER;CONTER
HAVERAO;TERÃO 
HAVIDO;TENDO SIDO
BUSCA;PROCURA
CONTER;POSSUIR
CRESCER;AUMENTAR
AUMENTO;CRESCIMENTO
DESTA;NESSA
DAQUELA;NAQUELA 
DE ACORDO COM;EM CONFORMIDADE COM
DE MODO QUE;DE PRAXE QUE
ALIAS;OUTROSSIM
ALEM;DEPOIS 
ADEQUAR;REFAZER
ADEQUACAO;TORNAR ADEQUADO A
ATENCAO;VISLUMBRE
AFAZER;TAREFA 
ADIANTE;EM DIANTE
ATRASADO;DEPOIS DA HORA
ADIANTADO;ANTECIPADAMENTE 
ADMINISTRACAO;ESPANTO
ANTES;ANTIGAMENTE
ACEITO;CONCORDADO
ANTECIPADAMENTE;PREVIAMENTE
ACONTECER;TRANSCORRER
ADOECER;FICAR DOENTE
ORGANIZAR;DAR ORGANIZAÇÃO 
OBEDECE;TEM OBEDIÊNCIA A 
CALAR;FECHAR A BOCA
CONTROLAR;EXERCER O CONTROLE DE 
SITUACAO;OCASIÃO 
SENTIR;TER SENTIMENTO A
SOFRER;PENAR
ABASTECER;ENCHER
ALGUM;UM QUALQUER
ALGO;QUALQUER COISA
ALGUMA;DALGUNS
APELAR;FAZER APELAÇÃO A
ADMIRAR;TER ADMIRAÇÃO A
ADMIRADO;ESPANTADO
ASSIMILAR;SUBTRAIR
ASSIMILACAO;SUBTRAÇÃO 
ASSESSORAR;AJUDAR 
ACEITAR;DAR ACEITAÇÃO
CONDICIONAR;DAR CONDIÇÃO A
CONSTRUCAO;EDIFICAÇÃO 
CERTEZA;AFIRMATIVA
CONHECER;PERCEBER 
CLAMAR;PEDIR
CHAMAR;INVOCAR
CHAMADA;INVOCAÇÃO 
CONSIDERA;ATENTA
CONSIDERACAO;PERTINÊNCIA
COMUNICAR;ANUNCIAR QUE
COMUNICACAO;VINCULAÇÃO 
CHEGADA;VINDA
CHEIO;REPLETO
COMPLETO;CERTO
